# Voyager1 data from NASA JPL HORIZONS
# Updated through 2026-Aug-16; generated by scripts/update_data.py
# date, x_km, y_km, z_km, vx_km_s, vy_km_s, vz_km_s
$$SOE
1977-Sep-05, 1.443746378487440E+08, -4.358198743573379E+07, -1.370435700586066E+03, 1.595490795520321E+01, 4.052412956605964E+01, 8.169144823834618E-01
1977-Oct-05, 1.561640471631895E+08, 5.633391286324137E+07, 1.792070792648967E+06, -2.157734032997252E+00, 3.762138911493489E+01, 6.399497456641949E-01
1977-Nov-04, 1.381070704693621E+08, 1.469085859477184E+08, 3.265412680750951E+06, -1.077053406859753E+01, 3.196317293028277E+01, 4.969023929578107E-01
1977-Dec-04, 1.044110843669867E+08, 2.220942364483275E+08, 4.390478228338927E+06, -1.467265446043682E+01, 2.622314077880134E+01, 3.771069475386088E-01
1978-Jan-03, 6.402950360013691E+07, 2.839137637566540E+08, 5.249143608346388E+06, -1.623274855484724E+01, 2.167920132852670E+01, 2.902644803220955E-01
1978-Feb-02, 2.115846788814256E+07, 3.354067040112215E+08, 5.915955409601286E+06, -1.673108193610920E+01, 1.820646943239705E+01, 2.275110935672018E-01
1978-Mar-04, -2.228738222584850E+07, 3.789701611613344E+08, 6.442401133104265E+06, -1.673718549706784E+01, 1.551654500049312E+01, 1.808719517552344E-01
1978-Apr-03, -6.540714613513221E+07, 4.163238113995635E+08, 6.862919579786539E+06, -1.650772793072607E+01, 1.338382388190035E+01, 1.450880982275198E-01
1978-May-03, -1.077668339930330E+08, 4.486980675542101E+08, 7.201012795367926E+06, -1.616456351132391E+01, 1.165339324336425E+01, 1.168357505440243E-01
1978-Jun-02, -1.491594089648468E+08, 4.769910480018378E+08, 7.473233881539881E+06, -1.576859554567018E+01, 1.022038436624274E+01, 9.397451863907413E-02
1978-Jul-02, -1.894933487297854E+08, 5.018747270363541E+08, 7.691590484883875E+06, -1.535146220916945E+01, 9.012842177538580E+00, 7.507970045154577E-02
1978-Aug-01, -2.287379518638004E+08, 5.238645384666895E+08, 7.865029036203235E+06, -1.493009871778880E+01, 7.980436404767412E+00, 5.918134392924301E-02
1978-Aug-31, -2.668953775781872E+08, 5.433652795068969E+08, 8.000370201632351E+06, -1.451369053821753E+01, 7.087214565054123E+00, 4.558449239083151E-02
1978-Sep-30, -3.039855138124979E+08, 5.607023924442468E+08, 8.102869313200593E+06, -1.410715499038250E+01, 6.307376029498094E+00, 3.376326134368801E-02
1978-Oct-30, -3.400377978260011E+08, 5.761450024756351E+08, 8.176573172783643E+06, -1.371323276333619E+01, 5.623008992285449E+00, 2.330108906634054E-02
1978-Nov-29, -3.750874144624079E+08, 5.899252610063977E+08, 8.224493240121841E+06, -1.333379861932971E+01, 5.023702073320633E+00, 1.379708082258557E-02
1978-Dec-29, -4.091748757231413E+08, 6.022621478402394E+08, 8.248463059081405E+06, -1.297150557212053E+01, 4.511403427632857E+00, 4.696973455765585E-03
1979-Jan-28, -4.423544345153965E+08, 6.134230362063682E+08, 8.248017886440247E+06, -1.263687303877885E+01, 4.134146322506885E+00, -5.515694552832517E-03
1979-Feb-27, -4.748174182380574E+08, 6.242979734531765E+08, 8.208158404872179E+06, -1.256485484338718E+01, 4.849037328516396E+00, -3.641888649094471E-02
1979-Mar-29, -5.281253382512773E+08, 6.051468073113705E+08, 1.048814864952618E+07, -2.094014964824261E+01, -1.104099126784946E+01, 1.029850226902770E+00
1979-Apr-28, -5.816699913481417E+08, 5.761083828655362E+08, 1.312210190768266E+07, -2.041518862858122E+01, -1.137082270770560E+01, 1.006276839602609E+00
1979-May-28, -6.340056655454621E+08, 5.462151085026532E+08, 1.571186397304520E+07, -1.997592686528943E+01, -1.169108543523242E+01, 9.925331300157807E-01
1979-Jun-27, -6.852509176402848E+08, 5.155277155347994E+08, 1.826874598257780E+07, -1.956825250647164E+01, -1.198188948387044E+01, 9.804858094854207E-01
1979-Jul-27, -7.354600024386595E+08, 4.841306886395767E+08, 2.079500088178951E+07, -1.917540723208662E+01, -1.223845795193790E+01, 9.688096691902954E-01
1979-Aug-26, -7.846666818060707E+08, 4.521128783666326E+08, 2.329112207617912E+07, -1.879474405280545E+01, -1.246113446444344E+01, 9.572176921049893E-01
1979-Sep-25, -8.329028890848869E+08, 4.195597341168928E+08, 2.575726568991843E+07, -1.842676433104538E+01, -1.265192337207670E+01, 9.456853030126853E-01
1979-Oct-25, -8.802030535944529E+08, 3.865505305489807E+08, 2.819365882287461E+07, -1.807269253716196E+01, -1.281352633707471E+01, 9.342735606346086E-01
1979-Nov-24, -9.266046722161638E+08, 3.531570058357033E+08, 3.060070411252841E+07, -1.773358715928626E+01, -1.294898375367633E+01, 9.230511620087314E-01
1979-Dec-24, -9.721474558013644E+08, 3.194429853597823E+08, 3.297897211858945E+07, -1.741009179492542E+01, -1.306130263783997E+01, 9.120797051522325E-01
1980-Jan-23, -1.016872390697754E+09, 2.854647355959101E+08, 3.532919232894219E+07, -1.710255815464327E+01, -1.315333065262700E+01, 9.014167319570987E-01
1980-Feb-22, -1.060820921670432E+09, 2.512713418591099E+08, 3.765221540293740E+07, -1.681098995632132E+01, -1.322773308643843E+01, 8.910987897741283E-01
1980-Mar-23, -1.104034126014681E+09, 2.169053666396346E+08, 3.994896862046109E+07, -1.653512934871819E+01, -1.328685314134787E+01, 8.811521302805687E-01
1980-Apr-22, -1.146552353018703E+09, 1.824036776697782E+08, 4.222045184200756E+07, -1.627468257190806E+01, -1.333279016183164E+01, 8.716031955873547E-01
1980-May-22, -1.188415066686508E+09, 1.477978899447128E+08, 4.446771552771641E+07, -1.602926047183737E+01, -1.336748748037392E+01, 8.624654814461916E-01
1980-Jun-21, -1.229660650796059E+09, 1.131148516045831E+08, 4.669183836229997E+07, -1.579845130349457E+01, -1.339266243604110E+01, 8.537514070981898E-01
1980-Jul-21, -1.270326712743165E+09, 7.837715959892072E+07, 4.889394804139924E+07, -1.558209671527235E+01, -1.340992676102542E+01, 8.454839786484367E-01
1980-Aug-20, -1.310451055940606E+09, 4.360322180122729E+07, 5.107524819583055E+07, -1.538063304782107E+01, -1.342091557932638E+01, 8.377061517784083E-01
1980-Sep-19, -1.350075090139325E+09, 8.806866781503091E+06, 5.323717397006013E+07, -1.519706962800351E+01, -1.342766950193936E+01, 8.305899262726246E-01
1980-Oct-19, -1.389263393130429E+09, -2.600703956911525E+07, 5.538240969377697E+07, -1.505301260331615E+01, -1.343685624594289E+01, 8.252966828943382E-01
1980-Nov-18, -1.424854439865937E+09, -6.286469146809938E+07, 6.347531649462219E+07, -6.461164836725956E+00, -1.680339964603590E+01, 1.230265744947188E+01
1980-Dec-18, -1.441153019346698E+09, -1.061615055113527E+08, 9.493997893272159E+07, -6.179042791330481E+00, -1.667057749987683E+01, 1.208674146142822E+01
1981-Jan-17, -1.456959687128607E+09, -1.492578051077026E+08, 1.262550468079389E+08, -6.010050201802977E+00, -1.663161479543848E+01, 1.206093452187471E+01
1981-Feb-16, -1.472328591510767E+09, -1.923380380849760E+08, 1.574875990836092E+08, -5.850077212168721E+00, -1.660920277451035E+01, 1.203870100718921E+01
1981-Mar-18, -1.487292981890524E+09, -2.353585062333585E+08, 1.886643453823719E+08, -5.697671767750403E+00, -1.658524937027823E+01, 1.201738241267265E+01
1981-Apr-17, -1.501871028942245E+09, -2.783140240033481E+08, 2.197850525911394E+08, -5.551885663832157E+00, -1.655905855735839E+01, 1.199533597326392E+01
1981-May-17, -1.516079329990746E+09, -3.211987471689535E+08, 2.508471802943814E+08, -5.412304551518154E+00, -1.653064416558814E+01, 1.197215089169674E+01
1981-Jun-16, -1.529933635653781E+09, -3.640070432762116E+08, 2.818476563516366E+08, -5.278737840820998E+00, -1.650011473013725E+01, 1.194778015510085E+01
1981-Jul-16, -1.543449397048773E+09, -4.067337232749525E+08, 3.127835422047464E+08, -5.151061917388707E+00, -1.646771320858378E+01, 1.192233371889894E+01
1981-Aug-15, -1.556641718387570E+09, -4.493743045237260E+08, 3.436522257190946E+08, -5.029139462371043E+00, -1.643372639431108E+01, 1.189595157123814E+01
1981-Sep-14, -1.569525308314535E+09, -4.919249913822164E+08, 3.744514869863899E+08, -4.912828782098460E+00, -1.639839568879074E+01, 1.186879485939008E+01
1981-Oct-14, -1.582114550188222E+09, -5.343826984251645E+08, 4.051795245576026E+08, -4.801986528561057E+00, -1.636203436151410E+01, 1.184101982320051E+01
1981-Nov-13, -1.594423313854629E+09, -5.767451460106206E+08, 4.358349203497280E+08, -4.696357969878171E+00, -1.632493182768043E+01, 1.181276730157425E+01
1981-Dec-13, -1.606464736913460E+09, -6.190106165556993E+08, 4.664166058434747E+08, -4.595681775527222E+00, -1.628724138948970E+01, 1.178417085190644E+01
1982-Jan-12, -1.618251426526346E+09, -6.611778498041198E+08, 4.969238775196407E+08, -4.499758446167010E+00, -1.624914885351514E+01, 1.175536561176297E+01
1982-Feb-11, -1.629795372175820E+09, -7.032459721325489E+08, 5.273563254945421E+08, -4.408335897284008E+00, -1.621077668298855E+01, 1.172645169811392E+01
1982-Mar-13, -1.641107994096016E+09, -7.452143094338675E+08, 5.577137986878734E+08, -4.321254163293222E+00, -1.617217261438582E+01, 1.169753134088797E+01
1982-Apr-12, -1.652200402254209E+09, -7.870823842340109E+08, 5.879964103700804E+08, -4.238392790631133E+00, -1.613343465200870E+01, 1.166870710827485E+01
1982-May-12, -1.663083293348621E+09, -8.288502096707698E+08, 6.182044942890654E+08, -4.159550617076845E+00, -1.609484518413938E+01, 1.164003083425347E+01
1982-Jun-11, -1.673766841737239E+09, -8.705182204658467E+08, 6.483385221203101E+08, -4.084554620273877E+00, -1.605644276933693E+01, 1.161157547817023E+01
1982-Jul-11, -1.684260774716727E+09, -9.120870976675477E+08, 6.783991377870288E+08, -4.013204455412438E+00, -1.601837485718973E+01, 1.158339307373785E+01
1982-Aug-10, -1.694574203378773E+09, -9.535578518815938E+08, 7.083870992813703E+08, -3.945227898962161E+00, -1.598072970968619E+01, 1.155552063013938E+01
1982-Sep-09, -1.704715599104687E+09, -9.949315496457450E+08, 7.383032674383636E+08, -3.880442162541369E+00, -1.594349138858886E+01, 1.152800453978120E+01
1982-Oct-09, -1.714693043375965E+09, -1.036209295110536E+09, 7.681486099078422E+08, -3.818698629618750E+00, -1.590670042076873E+01, 1.150087588649193E+01
1982-Nov-08, -1.724514197484356E+09, -1.077392305927062E+09, 7.979241638286320E+08, -3.759818746090229E+00, -1.587038872046166E+01, 1.147416040469651E+01
1982-Dec-08, -1.734186353322424E+09, -1.118481810526743E+09, 8.276310351794872E+08, -3.703717753315731E+00, -1.583456526663875E+01, 1.144788310032756E+01
1983-Jan-07, -1.743716559451692E+09, -1.159479191904336E+09, 8.572703837670248E+08, -3.650263905536953E+00, -1.579932235572600E+01, 1.142206110522054E+01
1983-Feb-06, -1.753111418328633E+09, -1.200386046141791E+09, 8.868433964758329E+08, -3.599249148369497E+00, -1.576470679008961E+01, 1.139669988626519E+01
1983-Mar-08, -1.762377061641838E+09, -1.241203961196951E+09, 9.163512856506374E+08, -3.550534794118049E+00, -1.573070412572079E+01, 1.137181568445517E+01
1983-Apr-07, -1.771519265286731E+09, -1.281934550162343E+09, 9.457952925772871E+08, -3.503985256607232E+00, -1.569732437009472E+01, 1.134740395743186E+01
1983-May-07, -1.780543425459091E+09, -1.322579388991546E+09, 9.751766497801683E+08, -3.459423277384384E+00, -1.566451815504038E+01, 1.132348174073034E+01
1983-Jun-06, -1.789454658370102E+09, -1.363139872782235E+09, 1.004496626152039E+09, -3.416848595802095E+00, -1.563223914339472E+01, 1.130004180695451E+01
1983-Jul-06, -1.798258056983567E+09, -1.403617418433716E+09, 1.033756454585560E+09, -3.376215461491663E+00, -1.560054137055342E+01, 1.127706845063676E+01
1983-Aug-05, -1.806958518184066E+09, -1.444013605765911E+09, 1.062957362209713E+09, -3.337402297662036E+00, -1.556945522361262E+01, 1.125457637112231E+01
1983-Sep-04, -1.815560667892173E+09, -1.484330030216395E+09, 1.092100592336002E+09, -3.300341426025792E+00, -1.553900965812982E+01, 1.123256302421618E+01
1983-Oct-04, -1.824068476492930E+09, -1.524568655587649E+09, 1.121187857179051E+09, -3.264716655848518E+00, -1.550936380208680E+01, 1.121123274158511E+01
1983-Nov-03, -1.832486254958709E+09, -1.564731115573027E+09, 1.150219943466656E+09, -3.230711785693102E+00, -1.548028958644710E+01, 1.119014739036055E+01
1983-Dec-03, -1.840817683877837E+09, -1.604819006731461E+09, 1.179197966775022E+09, -3.198081549493015E+00, -1.545182282285725E+01, 1.116951345562428E+01
1984-Jan-02, -1.849066237889873E+09, -1.644833861865356E+09, 1.208123086282637E+09, -3.166752645208320E+00, -1.542393318047468E+01, 1.114932477525616E+01
1984-Feb-01, -1.857235165865032E+09, -1.684777096019375E+09, 1.236996454342803E+09, -3.136649552411969E+00, -1.539654674134208E+01, 1.112958015602647E+01
1984-Mar-02, -1.865327726324919E+09, -1.724650002287390E+09, 1.265819214147082E+09, -3.107729008880610E+00, -1.536968974437189E+01, 1.111038532671505E+01
1984-Apr-01, -1.873346930630723E+09, -1.764454011465379E+09, 1.294592765817698E+09, -3.080120814547271E+00, -1.534338072967949E+01, 1.109149835855240E+01
1984-May-01, -1.881296027800591E+09, -1.804190563389217E+09, 1.323317900826107E+09, -3.053623617794774E+00, -1.531762959838049E+01, 1.107302863870258E+01
1984-May-31, -1.889177853783072E+09, -1.843861100269256E+09, 1.351995689520296E+09, -3.028203698860722E+00, -1.529244761801616E+01, 1.105496120464229E+01
1984-Jun-30, -1.896995085530493E+09, -1.883467109960677E+09, 1.380627157260026E+09, -3.003760956959759E+00, -1.526783886157625E+01, 1.103728413789027E+01
1984-Jul-30, -1.904750108119348E+09, -1.923009983581987E+09, 1.409213306920088E+09, -2.980207540938663E+00, -1.524371388963861E+01, 1.101999280314893E+01
1984-Aug-29, -1.912445524066242E+09, -1.962490897849757E+09, 1.437754781273874E+09, -2.957680330406469E+00, -1.522003877128574E+01, 1.100293287611539E+01
1984-Sep-28, -1.920083489211300E+09, -2.001911093295645E+09, 1.466252856402232E+09, -2.935952493499426E+00, -1.519686249244044E+01, 1.098638242120217E+01
1984-Oct-28, -1.927666240075790E+09, -2.041271833415285E+09, 1.494708500263928E+09, -2.915080075578508E+00, -1.517416033075567E+01, 1.097019264052138E+01
1984-Nov-27, -1.935195988438583E+09, -2.080574389888284E+09, 1.523122641032326E+09, -2.895044789300866E+00, -1.515197622921849E+01, 1.095435666920322E+01
1984-Dec-27, -1.942674794472285E+09, -2.119820165958928E+09, 1.551496177497690E+09, -2.875746200929138E+00, -1.513034810122637E+01, 1.093885892564349E+01
1985-Jan-26, -1.950104409010379E+09, -2.159010517463746E+09, 1.579829970763068E+09, -2.857087706018100E+00, -1.510919597813723E+01, 1.092369037414558E+01
1985-Feb-25, -1.957486476614868E+09, -2.198146618901185E+09, 1.608124855172854E+09, -2.839054879065829E+00, -1.508848108325336E+01, 1.090883443692809E+01
1985-Mar-27, -1.964822576249979E+09, -2.237229586466736E+09, 1.636381589719022E+09, -2.821613217894417E+00, -1.506817736228929E+01, 1.089426852124676E+01
1985-Apr-26, -1.972114256527064E+09, -2.276260313971169E+09, 1.664601015370385E+09, -2.804793875581020E+00, -1.504817972174051E+01, 1.088003094342923E+01
